ENEMY
1F	チルノ,3,4	八意永琳,2,2	星熊勇儀,1,1	豊聡耳神子,1,1
2F	チルノ,3,2	八雲紫,3,1	西行寺幽々子,1,4	レミリア,1,2	洩矢諏訪子,2,5	鈴仙・優曇華院・イナバ,2,2
3F	フランドール,2,1	小悪魔,2,4	小野塚小町,2,4	紅美鈴,2,1	メディスン,1,5
4F	村紗水蜜,2,5	古明地さとり,1,4	紅美鈴,3,3	蘇我屠自古,2,3	犬走椛,2,5	上白沢慧音,1,5	博麗霊夢,1,2	鈴仙・優曇華院・イナバ,1,3
5F	ミスティア,1,2	伊吹萃香,1,2	寅丸星,1,5
6F	村紗水蜜,2,4	四季映姫ヤマザナドゥ,1,5
7F	鍵山雛,2,1	西行寺幽々子,1,2	犬走椛,3,3	レミリア,1,1
8F	ゆっくり霊夢,1,3	メディスン,1,5	多々良小傘,1,4	レミリア,2,2
9F	小野塚小町,2,1	パルスィ,1,2	八雲藍,2,5	リリーホワイト,1,2
10F	古明地こいし,3,4	多々良小傘,2,2	リグルナイトバグ,1,3	霊烏路空,1,1	霊烏路空,2,2	アリス,2,5	因幡てゐ,3,3
ITEM
category.spellcard
博麗霊夢のカード	A
霧雨魔理沙のカード	S
みすちーのカード	C
因幡てゐのカード	D
射命丸文のカード	D
チルノのカード	D
犬走椛のカード	B
ルーミアのカード	D
東風谷早苗のカード	C
八雲紫のカード	S
プリズムリバー三姉妹のカード	A
風見幽香のカード	A
イナバのカード	C
パチュリーのカード	C
黒谷ヤマメのカード	A
星熊勇儀のカード	S
寅丸星のカード	D
リグルのカード	B
レミリアのカード	C
八坂神奈子のカード	C
蓬莱山輝夜のカード	S
橙のカード	D
河城にとりのカード	D
一輪雲山のカード	D
四季映姫・ヤマザナドゥのカード	A
フランドールのカード	B
古明地さとりのカード	S
物部布都のカード	B
蘇我屠自古のカード	S
伊吹萃香のカード	B
ミスティアのカード	A
アリスのカード	D
パルスィのカード	D
キスメのカード	B
古明地こいしのカード	B
聖白蓮のカード	B
魂魄妖夢のカード	C
霊烏路空のカード	S
秋姉妹のカード	B
十六夜咲夜のカード	A
小野塚小町のカード	B
上白沢慧音のカード	D
レティのカード	C
洩矢諏訪子のカード	C
火焔猫燐のカード	B
西行寺幽々子のカード	C
八意永琳のカード	D
鍵山雛のカード	S
紅美鈴のカード	D
ナズーリンのカード	A
メディスンメランコリーのカード	A
村紗水蜜のカード	D
多々良小傘のカード	S
八雲藍のカード	D
category.grass
超不幸の草	A
天使の草	S
鳳凰の種	A
しあわせ草	A
金縛り草	S
混乱草	D
睡眠草	S
毒草	B
アイスの種	S
感電草	B
すばやさ草	B
ちからの草	D
ドラゴン草	B
めぐすり草	D
胃拡張の種	S
胃縮小の種	A
高飛び草	D
毒消し草	S
不幸の草	C
命の草	S
姉切草	D
妹切草	D
category.food
巨大なおにぎり	S
腐ったおにぎり	A
小さなおにぎり	B
大きなおにぎり	A
category.ring
識別のリボン	D
焼き芋のリボン	S
透視のリボン	S
橙のぶっとびリボン	C
お忍びリボン	B
しあわせのリボン	B
空の融合リボン	S
流行病のリボン	C
会心のリボン	C
回復のリボン	C
大遠投のリボン	D
覚醒のリボン	C
メディスンの衰退リボン	C
category.arrow
ミニ八卦炉	B
鉄の矢	C
category.scrool
グリモワール	A
八咫烏の書	C
メッキの書	C
複製の書	A
困った時の書	B
バクスイの書	S
混乱の書	C
おにぎりの書	S
明かりの書	S
天邪鬼の書	C
破裂の書	D
撒き餌の書	S
自爆の書	D
いかづちの書	A
混乱の書	D
氷の書	D
パワーアップの書	B
封書モンスターハウス	B
大部屋の書	S
敵倍速の書	A
識別の書	B
category.staff
しあわせの杖	B
不幸の杖	A
封印の杖	S
いかづちの杖	C
転ばぬ先の杖	D
氷の杖	C
影縛りの杖	A
悪魔の杖	D
イカリの杖	S
一時しのぎの杖	S
回復の杖	S
金縛りの杖	C
場所替えの杖	D
吹き飛ばしの杖	C
鈍足の杖	C
category.pot
category.disc
Disc	B
TRAP
デロデロの罠	8
ねむりの罠	58
バネの罠	45
ハラヘリの罠	31
ワナの罠	9
回転盤の罠	56
丸太の罠	1
錆の罠	80
呪いの罠	75
召喚の罠	91
装備外しの罠	52
地雷の罠	80
毒の矢の罠	64
鈍足の罠	17
氷の罠	64
影縫いの罠	66
落とし穴の罠	56
