ENEMY																											
1F																											
2F							ゆっくり霊夢	1	5																		
3F				リリーホワイト	1	5	ゆっくり霊夢	2	5	幽谷響子	1	5				リグルナイトバグ	1	5									
4F				リリーホワイト	1	5				幽谷響子	1	5	チルノ	1	5	リグルナイトバグ	1	5	わかさぎ姫	1	3	パルスィ	1	5			
5F	蓬莱山輝夜	1	1				十六夜咲夜	1	3				チルノ	1	5				わかさぎ姫	1	3	パルスィ	1	5			
6F	蓬莱山輝夜	1	1	二ッ岩マミゾウ	1	5	十六夜咲夜	1	3	幽谷響子	2	5	にとり	1	5	鍵山雛	1	5				橙	1	5			
7F	蓬莱山輝夜	1	1	二ッ岩マミゾウ	1	5				幽谷響子	2	5	にとり	1	5	鍵山雛	1	5	東風谷早苗	1	5	橙	1	5			
8F	蓬莱山輝夜	1	1	二ッ岩マミゾウ	1	5	多々良小傘	1	5	ルーミア	1	5	犬走椛	1	5	物部布都	1	5	西行寺幽々子	1	5	橙	1	5	リリーホワイト	2	5
9F	村紗水蜜	1	5	ミスティア	1	5	多々良小傘	1	5	ルーミア	1	5	犬走椛	1	5	物部布都	1	5	西行寺幽々子	1	5	橙	1	5	リリーホワイト	2	5
10F	村紗水蜜	1	5	ミスティア	1	5	多々良小傘	1	5				犬走椛	1	5							鈴仙・優曇華院・イナバ	1	3	リリーホワイト	2	5
11F	永江衣玖	1	3				霍青娥	1	5	宮古芳香	1	5	犬走椛	1	5				東風谷早苗	1	5	鈴仙・優曇華院・イナバ	1	3	リリーホワイト	2	5
12F							霍青娥	1	5	宮古芳香	1	5	堀川雷鼓	1	2	黒谷ヤマメ	1	5	東風谷早苗	1	3	鈴仙・優曇華院・イナバ	1	3			
13F	蓬莱山輝夜	2	1				霍青娥	1	5	宮古芳香	1	5	堀川雷鼓	1	2	黒谷ヤマメ	1	5	東風谷早苗	1	3	鈴仙・優曇華院・イナバ	1	3			
14F スキマ	蓬莱山輝夜	2	1	藤原妹紅	5	5	聖白蓮	1	1				堀川雷鼓	2	3	パチュリー	1	5	東風谷早苗	2	5	上白沢慧音	1	5			
15F スキマ	蓬莱山輝夜	2	1	八雲藍	1	5	アリス	1	5	メディスン	1	5	古明地さとり	1	5	射命丸文	1	5				橙	2	5			
16F	蓬莱山輝夜	2	1	八雲藍	1	5	アリス	1	5	メディスン	1	5	古明地さとり	1	5	射命丸文	1	5	八坂神奈子	1	5	橙	2	5			
17F	蓬莱山輝夜	2	1				アリス	1	5	因幡てゐ	2	5	パチュリー	1	5	寅丸星	1	5	八坂神奈子	1	5	橙	2	5			
18F	蓬莱山輝夜	2	1	姫海棠はたて	1	5	アリス	1	5	因幡てゐ	2	5	パチュリー	1	5	寅丸星	1	5									
19F	蓬莱山輝夜	2	1	姫海棠はたて	1	5	伊吹萃香	1	5	大妖精	2	5	二ッ岩マミゾウ	2	5	フランドール	1	5	今泉影狼	1	5	少名針妙丸	1	5	秦こころ	1	1
20F	封獣ぬえ	1	5	寅丸星	2	5	伊吹萃香	1	5	大妖精	2	5	二ッ岩マミゾウ	2	5	フランドール	1	5	今泉影狼	1	5	少名針妙丸	1	5	秦こころ	1	1
21F	封獣ぬえ	1	5	寅丸星	2	5	伊吹萃香	1	5	大妖精	2	5	二ッ岩マミゾウ	2	5	フランドール	1	5	今泉影狼	1	5	少名針妙丸	1	5	秦こころ	1	1
22F	封獣ぬえ	1	5	寅丸星	2	5	伊吹萃香	1	5	大妖精	2	5	二ッ岩マミゾウ	2	5	フランドール	1	5	今泉影狼	1	5	少名針妙丸	1	5	洩矢諏訪子	1	4
23F	少名針妙丸	1	2	寅丸星	2	5	霍青娥	2	1	犬走椛	2	5	西行寺幽々子	2	5	宮古芳香	2	5	紅美鈴	2	5	東風谷早苗	2	1	洩矢諏訪子	1	4
24F	封獣ぬえ	1	5	蘇我屠自古	1	5	霍青娥	2	1	犬走椛	2	5	西行寺幽々子	2	5	宮古芳香	2	5	紅美鈴	2	5	東風谷早苗	2	1	洩矢諏訪子	1	4
25F	少名針妙丸	1	2	蘇我屠自古	1	5	霍青娥	2	1	犬走椛	2	5	西行寺幽々子	2	5	宮古芳香	2	5	紅美鈴	2	5	東風谷早苗	2	1	洩矢諏訪子	1	4
26F	封獣ぬえ	1	5	八雲紫	1	5	藤原妹紅	5	5	射命丸文	2	5	火焔猫燐	2	5	八雲藍	2	5	ナズーリン	1	5	東風谷早苗	2	5	洩矢諏訪子	1	4
27F	少名針妙丸	1	2	八雲紫	1	5	藤原妹紅	5	5	射命丸文	2	5	火焔猫燐	2	5	八雲藍	2	5	ナズーリン	1	5	東風谷早苗	2	5	洩矢諏訪子	1	4
28F 草原　難関	封獣ぬえ	2	5	大妖精	3	5	リリーホワイト	3	5	ミスティア	2	5	赤蛮奇_体	2	5	幽谷響子	3	5	ナズーリン	1	5	リグルナイトバグ	2	5	小悪魔	2	5
29F 草原　難関	少名針妙丸	1	1	大妖精	3	5	リリーホワイト	3	5	ミスティア	2	5	赤蛮奇_体	2	5	幽谷響子	3	5		1	5	リグルナイトバグ	2	5	小悪魔	2	5
30F 地霊　難関	封獣ぬえ	2	5	古明地さとり	2	5	聖白蓮	1	1	伊吹萃香	2	5	黒谷ヤマメ	2	5	パルスィ	2	5	星熊勇儀	1	5	霊烏路空	2	5	古明地こいし	2	5
31F 地霊　難関	少名針妙丸	1	1	古明地さとり	2	5	聖白蓮	1	1	伊吹萃香	2	5	黒谷ヤマメ	2	5	パルスィ	2	5	星熊勇儀	1	5	霊烏路空	2	5	古明地こいし	2	5
32F 地霊　難関	封獣ぬえ	2	5	古明地さとり	2	5	聖白蓮	1	1	伊吹萃香	2	5	黒谷ヤマメ	2	5	パルスィ	2	5	星熊勇儀	1	5	霊烏路空	2	5	古明地こいし	2	5
33F 地霊　難関	少名針妙丸	1	1	古明地さとり	2	5	永江衣玖	2	1	伊吹萃香	2	5	黒谷ヤマメ	2	5	パルスィ	2	5	星熊勇儀	1	5	霊烏路空	2	5	古明地こいし	2	5
34F ごちゃ	封獣ぬえ	2	5	鈴仙・優曇華院・イナバ	2	5	霧雨魔理沙	1	5	風見幽香	1	5	レミリア	1	5	ゆっくり霊夢	3	5	博麗霊夢	1	5	鬼人正邪	1	5	古明地こいし	2	5
35F ごちゃ	少名針妙丸	1	1	鈴仙・優曇華院・イナバ	2	5	霧雨魔理沙	1	5	風見幽香	1	5	レミリア	1	5	ゆっくり霊夢	3	5	博麗霊夢	1	5	鬼人正邪	1	5	古明地こいし	2	5
36F ごちゃ	にとり	2	5	鈴仙・優曇華院・イナバ	2	5	霧雨魔理沙	1	5	風見幽香	1	5	レミリア	1	5	ゆっくり霊夢	3	5	博麗霊夢	1	5	鬼人正邪	1	5	古明地こいし	2	5
37F ごちゃ	にとり	2	5	鈴仙・優曇華院・イナバ	2	5	霧雨魔理沙	1	5	風見幽香	1	5	レミリア	1	5	ゆっくり霊夢	3	5	博麗霊夢	1	5	ナズーリン	2	5	アリス	2	3
38F ごちゃ	リグルナイトバグ	2	5	橙	3	5	霧雨魔理沙	1	5	風見幽香	1	5	レミリア	1	5	ゆっくり霊夢	3	5	博麗霊夢	1	5	ナズーリン	2	5	アリス	2	3
39F ごちゃ	リグルナイトバグ	2	5	橙	3	5	霧雨魔理沙	1	5	風見幽香	1	5	レミリア	1	5	ゆっくり霊夢	3	5	博麗霊夢	1	5	ナズーリン	2	5	アリス	2	3
40F 水＋電気	リグルナイトバグ	2	5	橙	3	5	洩矢諏訪子	2	3	風見幽香	1	5	わかさぎ姫	2	5	物部布都	2	5	霍青娥	2	5	豊聡耳神子	1	5	アリス	2	3
41F 水＋電気	リグルナイトバグ	2	5	橙	3	5	洩矢諏訪子	2	3	風見幽香	1	5	わかさぎ姫	2	5	物部布都	2	5	霍青娥	2	5	豊聡耳神子	1	5	アリス	2	3
42F 水＋電気	永江衣玖	3	1	堀川雷鼓	3	3	洩矢諏訪子	2	3	蘇我屠自古	2	5	蓬莱山輝夜	3	3	パチュリー	2	5	霍青娥	3	5	豊聡耳神子	2	5	鬼人正邪	1	5
43F 水＋電気	永江衣玖	3	1	堀川雷鼓	3	3	洩矢諏訪子	2	3	蘇我屠自古	2	5	蓬莱山輝夜	3	3	パチュリー	2	5	霍青娥	3	5	豊聡耳神子	2	5	鬼人正邪	1	5
44F 【スキマ】	風見幽香	2	5	黒谷ヤマメ	3	5	犬走椛	3	5	比那名居天子	1	5	蓬莱山輝夜	3	3	黄金ゆっくり	1	5	藤原妹紅	13	1				八坂神奈子	2	5
45F メートン	風見幽香	2	5	黒谷ヤマメ	3	5	犬走椛	3	5	比那名居天子	1	5	蓬莱山輝夜	3	3	黄金ゆっくり	1	5	藤原妹紅	13	1				八坂神奈子	2	5
46F メートン	風見幽香	2	5	黒谷ヤマメ	3	5	犬走椛	3	5	比那名居天子	1	5	蓬莱山輝夜	3	3	黄金ゆっくり	1	5	藤原妹紅	13	1				八坂神奈子	2	5
47F メートン	風見幽香	2	5	黒谷ヤマメ	3	5	犬走椛	3	5	比那名居天子	1	5	蓬莱山輝夜	3	3	黄金ゆっくり	1	5	藤原妹紅	13	1				八坂神奈子	2	5
48F メートン	風見幽香	2	5	黒谷ヤマメ	3	5	犬走椛	3	5	比那名居天子	1	5	蓬莱山輝夜	3	3	黄金ゆっくり	1	5	藤原妹紅	13	1				八坂神奈子	2	5
49F メートン	風見幽香	2	5	黒谷ヤマメ	3	5	犬走椛	3	5	比那名居天子	1	5	蓬莱山輝夜	3	3	黄金ゆっくり	1	5	藤原妹紅	13	1				八坂神奈子	2	5
50F パワー＋毒	チルノ	3	3	宮古芳香	3	5	メディスン	3	5	鬼人正邪	2	2				八雲紫	2	5	星熊勇儀	2	5	鍵山雛	3	5	八坂神奈子	2	5
51F パワー＋毒	チルノ	3	3	宮古芳香	3	5	メディスン	3	5	鬼人正邪	2	2				八雲紫	2	5	星熊勇儀	2	5	鍵山雛	3	5	八坂神奈子	2	5
52F パワー＋毒	チルノ	3	3	宮古芳香	3	5	メディスン	3	5	ルーミア	3	5	姫海棠はたて	2	5	八雲紫	2	5	星熊勇儀	2	5	鍵山雛	3	5	八坂神奈子	2	5
53F パワー＋毒	チルノ	3	3	宮古芳香	3	5	メディスン	3	5	ルーミア	3	5	姫海棠はたて	2	5	八雲紫	2	5	星熊勇儀	2	5	鍵山雛	3	5	八坂神奈子	2	5
54F 危険ゾーン　招＋融	古明地さとり	3	3	鬼人正邪	2	5	二ッ岩マミゾウ	3	5	リグルナイトバグ	3	5	赤蛮奇_体	3	2	八雲紫	2	3	豊聡耳神子	2	4	伊吹萃香	3	5	魂魄妖夢	2	5
55F 危険ゾーン　招＋融	古明地さとり	3	3	鬼人正邪	2	5	二ッ岩マミゾウ	3	5	リグルナイトバグ	3	5	赤蛮奇_体	3	2	八雲紫	2	3	豊聡耳神子	2	4	伊吹萃香	3	5	魂魄妖夢	2	5
