ENEMY																								
1F				リリーホワイト	1	5	幽谷響子	1	5	二ッ岩マミゾウ	1	5	パルスィ	1	5									
2F				鍵山雛	1	5	幽谷響子	2	5	二ッ岩マミゾウ	1	5	物部布都	1	5				大妖精	1	3	霍青娥	1	5
3F				姫海棠はたて	1	3	ルーミア	1	2	二ッ岩マミゾウ	1	5	物部布都	1	5	犬走椛	1	5	大妖精	1	3			
4F				堀川雷鼓	1	3	因幡てゐ	1	5	紅美鈴	1	5	物部布都	1	2	西行寺幽々子	1	5	大妖精	1	3			
5F	少名針妙丸	1	3	黒谷ヤマメ	1	5	因幡てゐ	1	5	宮古芳香	1	5	多々良小傘	1	5	アリス	1	5	メディスン	1	5	ミスティア	1	5
6F	少名針妙丸	1	3	村紗水蜜	1	5	八坂神奈子	1	5	宮古芳香	1	5	多々良小傘	1	5	アリス	1	5	メディスン	1	3	ミスティア	1	5
7F	八意永琳	1	5				因幡てゐ	2	5	寅丸星	1	5	藤原妹紅	2	5	封獣ぬえ	1	5	メディスン	1	3	フランドール	1	5
8F	八意永琳	1	5				因幡てゐ	2	5	寅丸星	1	5	藤原妹紅	2	5	封獣ぬえ	1	5	メディスン	1	3	フランドール	1	5
9F	聖白蓮	1	3	洩矢諏訪子	1	7				宮古芳香	2	5	パチュリー	1	5	伊吹萃香	1	5	メディスン	2	5	上白沢慧音	1	2
10F	聖白蓮	1	3	洩矢諏訪子	1	7	犬走椛	2	5	宮古芳香	2	5	西行寺幽々子	2	5	紅美鈴	2	5	メディスン	2	5	上白沢慧音	1	2
11F				蘇我屠自古	1	5	犬走椛	2	5	パチュリー	2	5	西行寺幽々子	2	5	紅美鈴	2	5	メディスン	2	5	上白沢慧音	1	2
12F	古明地こいし	2	5	黒谷ヤマメ	2	5	星熊勇儀	1	5	パチュリー	2	5	多々良小傘	2	5				ミスティア	2	5	古明地さとり	2	3
13F	古明地こいし	2	5	黒谷ヤマメ	2	5	星熊勇儀	1	5	パチュリー	2	5	多々良小傘	2	5				ミスティア	2	5	古明地さとり	2	3
14F	風見幽香	1	5	鈴仙・優曇華院・イナバ	2	5	小悪魔	2	5	パチュリー	2	5	ゆっくり霊夢	3	5	霧雨魔理沙	1	5	博麗霊夢	1	5	上白沢慧音	2	2
15F	豊聡耳神子	1	5	蘇我屠自古	2	5	小悪魔	2	5	物部布都	2	5	ゆっくり霊夢	3	5	霧雨魔理沙	1	5	博麗霊夢	1	5	上白沢慧音	2	2
16F	豊聡耳神子	1	5	蘇我屠自古	2	5	ナズーリン	2	5	物部布都	2	5				伊吹萃香	2	5	封獣ぬえ	2	5	上白沢慧音	2	2
17F	豊聡耳神子	1	5	蘇我屠自古	2	5	ナズーリン	2	5							伊吹萃香	2	5	封獣ぬえ	2	5	上白沢慧音	2	2
18F	豊聡耳神子	1	5	蘇我屠自古	2	5	ナズーリン	2	5	今泉影狼	2	5	星熊勇儀	2	5	伊吹萃香	2	5	フランドール	2	5	上白沢慧音	3	5
19F	わかさぎ姫	3	1	姫海棠はたて	2	1	ナズーリン	2	5	今泉影狼	2	5	星熊勇儀	2	5	伊吹萃香	2	5	フランドール	2	5	パルスィ	2	2
20F	わかさぎ姫	3	1	姫海棠はたて	2	1	ナズーリン	2	5	今泉影狼	2	5	星熊勇儀	2	5	封獣ぬえ	2	5	フランドール	2	5	パルスィ	2	2
21F	わかさぎ姫	3	1	姫海棠はたて	2	1	リグルナイトバグ	3	5	博麗霊夢	2	5	霧雨魔理沙	2	5	封獣ぬえ	2	5	ルーミア	3	5			
22F	わかさぎ姫	3	1	風見幽香	2	5	リグルナイトバグ	3	5	博麗霊夢	2	5	霧雨魔理沙	2	5	封獣ぬえ	2	2	ルーミア	3	5	魂魄妖夢	2	5
23F	わかさぎ姫	3	1	風見幽香	2	5	リグルナイトバグ	3	5	博麗霊夢	2	5	霧雨魔理沙	2	5	封獣ぬえ	2	2	伊吹萃香	3	5	魂魄妖夢	2	5
24F	古明地こいし	3	1	小悪魔	3	5				パチュリー	3	5	鈴仙・優曇華院・イナバ	3	3	封獣ぬえ	3	1	伊吹萃香	3	5	魂魄妖夢	2	5
