ENEMY
1F	レミリア,3,1	十六夜咲夜,3,1	フランドール,3,1	パチュリー,3,1	紅美鈴,3,1	ルーミア,3,1	チルノ,3,1
2F	にとり,3,1	東風谷早苗,3,1	八坂神奈子,3,1	洩矢諏訪子,3,1	射命丸文,3,1	鍵山雛,3,1
3F	ナズーリン,3,1	封獣ぬえ,3,1	寅丸星,3,1	村紗水蜜,3,1	聖白蓮,3,1
4F	パルスィ,3,1	火焔猫燐,3,1	古明地こいし,3,1	古明地さとり,3,1	黒谷ヤマメ,3,1	星熊勇儀,3,1	霊烏路空,3,1
5F	メディスン,3,1	四季映姫ヤマザナドゥ,1,1	風見幽香,3,1	小野塚小町,1,1
6F	橙,3,1	八雲紫,3,1	八雲藍,3,1	西行寺幽々子,3,1	魂魄妖夢,3,1	チルノ,3,1	レティ,3,1	アリス,3,1
7F	鈴仙・優曇華院・イナバ,3,1	八意永琳,3,1	蓬莱山輝夜,3,1	博麗霊夢,3,1	因幡てゐ,3,1	霧雨魔理沙,3,1
8F	博麗霊夢,3,1	霧雨魔理沙,3,1	魂魄妖夢,3,1	十六夜咲夜,3,1	東風谷早苗,3,1
9F	レミリア,3,1	西行寺幽々子,3,1	蓬莱山輝夜,3,1	八坂神奈子,3,1	霊烏路空,3,1	聖白蓮,3,1
10F	封獣ぬえ,3,1	古明地こいし,3,1	洩矢諏訪子,3,1	藤原妹紅,50,1	八雲紫,3,1	フランドール,3,1

ITEM
category.spellcard
みすちーのカード	S
因幡てゐのカード	S
射命丸文のカード	S
チルノのカード	S
犬走椛のカード	A
ルーミアのカード	A
東風谷早苗のカード	A
八雲紫のカード	A
プリズムリバー三姉妹のカード	A
風見幽香のカード	B
イナバのカード	B
パチュリーのカード	B
黒谷ヤマメのカード	B
星熊勇儀のカード	B
寅丸星のカード	B
リグルのカード	B
レミリアのカード	B
八坂神奈子のカード	B
蓬莱山輝夜のカード	B
橙のカード	B
河城にとりのカード	B
一輪雲山のカード	B
四季映姫・ヤマザナドゥのカード	B
フランドールのカード	B
古明地さとりのカード	B
物部布都のカード	B
蘇我屠自古のカード	C
伊吹萃香のカード	C
ミスティアのカード	C
アリスのカード	C
パルスィのカード	C
キスメのカード	C
古明地こいしのカード	C
聖白蓮のカード	C
魂魄妖夢のカード	C
霊烏路空のカード	C
秋姉妹のカード	C
十六夜咲夜のカード	C
小野塚小町のカード	C
上白沢慧音のカード	C
レティのカード	C
洩矢諏訪子のカード	C
火焔猫燐のカード	C
西行寺幽々子のカード	C
八意永琳のカード	C
鍵山雛のカード	D
紅美鈴のカード	D
ナズーリンのカード	D
メディスンメランコリーのカード	D
村紗水蜜のカード	D
多々良小傘のカード	D
八雲藍のカード	D
category.grass
超不幸の草	S
天使の草	A
鳳凰の種	A
しあわせ草	B
金縛り草	B
混乱草	B
睡眠草	B
毒草	B
アイスの種	C
感電草	C
すばやさ草	C
ちからの草	C
ドラゴン草	C
めぐすり草	C
胃拡張の種	C
胃縮小の種	C
高飛び草	C
毒消し草	C
不幸の草	C
命の草	C
姉切草	C
妹切草	C
category.food
巨大なおにぎり	B
腐ったおにぎり	B
小さなおにぎり	C
大きなおにぎり	C
category.ring
識別のリボン	S
焼き芋のリボン	S
透視のリボン	S
橙のぶっとびリボン	A
お忍びリボン	A
しあわせのリボン	B
空の融合リボン	B
流行病のリボン	B
会心のリボン	B
回復のリボン	B
大遠投のリボン	C
覚醒のリボン	C
メディスンの衰退リボン	C
category.arrow
ミニ八卦炉	C
鉄の矢	C
category.scrool
グリモワール	A
八咫烏の書	A
メッキの書	B
複製の書	B
困った時の書	B
バクスイの書	B
混乱の書	B
おにぎりの書	B
明かりの書	C
天邪鬼の書	C
破裂の書	C
撒き餌の書	C
自爆の書	C
いかづちの書	C
混乱の書	C
氷の書	C
パワーアップの書	C
封書モンスターハウス	C
大部屋の書	C
敵倍速の書	C
識別の書	C
category.staff
しあわせの杖	B
不幸の杖	B
封印の杖	B
いかづちの杖	B
転ばぬ先の杖	B
氷の杖	C
影縛りの杖	C
悪魔の杖	C
イカリの杖	C
一時しのぎの杖	C
回復の杖	C
金縛りの杖	C
場所替えの杖	C
吹き飛ばしの杖	C
鈍足の杖	C
category.pot
category.disc
Disc	C

TRAP
デロデロの罠	70
ねむりの罠	100
バネの罠	100
ハラヘリの罠	100
ワナの罠	30
回転盤の罠	100
丸太の罠	100
錆の罠	100
呪いの罠	100
召喚の罠	70
装備外しの罠	100
地雷の罠	100
毒の矢の罠	100
鈍足の罠	100
氷の罠	100
影縫いの罠	100
落とし穴の罠	30
